"Tanggal Transaksi","Pendapatan Sewa Standar ($)","Pendapatan Denda Keterlambatan ($)","Total Pendapatan ($)"
2005-05-24,19.92,10.0,29.92
2005-05-25,423.630000000001,150.0,573.630000000001
2005-05-26,530.260000000001,224.0,754.260000000001
2005-05-27,452.340000000001,232.0,684.340000000001
2005-05-28,564.040000000001,240.0,804.040000000001
2005-05-29,438.460000000001,210.0,648.460000000001
2005-05-30,446.420000000001,182.0,628.420000000001
2005-05-31,513.370000000001,187.0,700.370000000001
2005-06-14,47.84,10.0,57.84
2005-06-15,992.520000000003,384.0,1376.52
2005-06-16,950.760000000002,399.0,1349.76
2005-06-17,941.750000000002,391.0,1332.75
2005-06-18,1062.56,424.0,1486.56
2005-06-19,1028.52,452.0,1480.52
2005-06-20,941.690000000002,443.0,1384.69
2005-06-21,810.250000000002,351.0,1161.25
2005-07-05,74.73,54.0,128.73
2005-07-06,1498.96,633.0,2131.96
2005-07-07,1382.39,561.0,1943.39
2005-07-08,1500.88,710.0,2210.88
2005-07-09,1475.87,600.0,2075.87
2005-07-10,1367.2,572.0,1939.2
2005-07-11,1398.39,540.0,1938.39
2005-07-12,1432.05,673.0,2105.05
2005-07-26,106.67,54.0,160.67
2005-07-27,1894.51000000001,832.0,2726.50999999997
2005-07-28,1771.8,806.0,2577.79999999998
2005-07-29,1912.59000000001,809.0,2721.58999999997
2005-07-30,1895.66000000001,945.0,2840.65999999997
2005-07-31,2064.21,804.0,2868.20999999996
2005-08-01,1950.29000000001,867.0,2817.28999999997
2005-08-02,1892.57000000001,834.0,2726.56999999997
2005-08-16,68.77,43.0,111.77
2005-08-17,1699.07,758.0,2457.06999999998
2005-08-18,1874.79,836.0,2710.78999999997
2005-08-19,1841.72000000001,774.0,2615.71999999997
2005-08-20,1853.76,870.0,2723.75999999997
2005-08-21,1955.42000000001,850.0,2805.41999999997
2005-08-22,1831.74000000001,745.0,2576.73999999998
2005-08-23,1788.02,733.0,2521.01999999998
